weeek,price
2017-11-05,19
2017-11-12,27.5
2017-11-19,35.6
2017-11-26,27.5
2017-12-03,58.88
2017-12-10,32.5
2017-12-17,26.5
2017-12-24,
2017-12-31,
2018-01-07,17.5
2018-01-14,
2018-01-21,
2018-01-28,43.5
2018-02-04,37.5
2018-02-11,31.63
2018-02-18,18.33
2018-02-25,18.5
2018-03-04,27.38
2018-03-11,26.25
2018-03-18,32.5
2018-03-25,16.25
2018-04-01,13.8
2018-04-08,13.75
2018-04-15,20.25
2018-04-22,26
2018-04-29,
2018-05-06,29.5
2018-05-13,30
2018-05-20,34.67
2018-05-27,32.5
2018-06-03,
2018-06-10,
2018-06-17,66.88
2018-06-24,57.5
2018-07-01,50
2018-07-08,52.5
2018-07-15,31.25
2018-07-22,54.1
2018-07-29,32.5
2018-08-05,18.63
2018-08-12,14.25
2018-08-19,42.5
2018-08-26,13.67
2018-09-02,27.7
2018-09-09,43
2018-09-16,47.1
2018-09-23,94
2018-09-30,
2018-10-07,60.9
2018-10-14,61.88
2018-10-21,35.1
2018-10-28,46.3
2018-11-04,47.5
2018-11-11,39.52
2018-11-18,25.6
2018-11-25,21.92
2018-12-02,31.62
2018-12-09,17.25
2018-12-16,23.65
2018-12-23,24
2018-12-30,
2019-01-06,24.67
2019-01-13,48.5
2019-01-20,36.13
2019-01-27,25.4
2019-02-03,33.38
2019-02-10,16.7
2019-02-17,28.25
2019-02-24,26.33
2019-03-03,20.7
2019-03-10,21.83
2019-03-17,22.38
2019-03-24,35.5
2019-03-31,
2019-04-07,53.83
2019-04-14,48.75
2019-04-21,42.25
2019-04-28,53
2019-05-05,53.83
2019-05-12,48.75
2019-05-19,60.5
2019-05-26,39.3
2019-06-02,19.75
2019-06-09,15.75
2019-06-16,27.13
2019-06-23,33
2019-07-07,35.25
2019-07-14,20.38
2019-07-21,15.2
2019-07-28,33.82
2019-08-04,31.22
2019-08-11,44.25
2019-08-18,35.9
2019-08-25,24.88
2019-09-01,41
2019-09-08,50.9
2019-09-15,41.5
2019-09-22,47.5
2019-09-29,34.5
2019-10-06,26.6
2019-10-13,47
2019-10-20,36.13
2019-10-27,11.9
2019-11-03,20.88
2019-11-10,25.83
2019-11-17,39.7
2019-11-24,19.13
2019-12-01,27.4
2019-12-08,37.35
2019-12-15,20.88
2019-12-22,23.67
2019-12-29,
2020-01-05,41.75
2020-01-12,28.1
2020-01-19,23.4
2020-01-26,21.9
2020-02-02,25.7
2020-02-09,19.6
2020-02-16,17.3
2020-02-23,26.5
2020-03-01,24.5
2020-03-08,18.25
2020-03-15,29.25
2020-03-22,32.5
2020-03-29,33.83
2020-04-05,31.8
2020-04-12,
2020-04-19,33.33
2020-04-26,32.8
2020-05-03,32.5
2020-05-10,39.17
2020-05-17,63.75
2020-05-24,66.25
2020-05-31,
2020-06-07,22.5
2020-06-14,8.5
2020-06-21,17.5
2020-06-28,24.17
2020-07-05,13.13
2020-07-12,23
2020-07-19,13.1
2020-07-26,12
2020-08-02,24.5
2020-08-09,22.63
2020-08-16,15.33
2022-08-23,25.4
2020-08-30,
2020-09-06,25.33
2020-09-13,38.75
2020-09-20,
2020-09-27,59.17
2020-10-04,38.33
2020-10-11,29.38
2020-10-18,62.5
2020-10-25,67.5
2020-11-01,78.75
2020-11-08,37.5
2020-11-15,78.75
2020-11-22,
2020-11-29,90
2020-12-06,82.5
2020-12-13,89.38
2020-12-20,95
2020-12-27,98.75
2021-01-03,22.5
2021-01-10,31.67
2021-01-17,30
2021-01-24,15.5
2021-01-31,11.5
2021-02-07,35
2021-02-14,19.75
2021-02-21,19.5
2021-02-28,47.5
2021-03-07,19.5
2021-03-14,32.5
2021-03-21,27.5
2021-03-28,23.75
2021-04-04,82.5
2021-04-11,25.83
2021-04-18,27.5
2021-04-25,23.25
2021-05-02,22.5
2021-05-09,22.5
2021-05-16,
2021-05-23,47.5
2021-05-30,
2021-06-06,80
2021-06-13,
2021-06-20,
2021-06-27,37.5
2021-07-04,
2021-07-11,
2021-07-18,21.5
2021-07-25,21
2021-08-01,39.17
2021-08-08,24.17
2021-08-15,43.33
2021-08-22,18.33
2021-08-29,37.5
2021-09-05,27.13
2021-09-12,23.75
2021-09-19,40.83
2021-09-26,37.25
2021-10-03,54.17
2021-10-10,54.17
2021-10-17,90
2021-10-24,78.13
2021-10-31,67.5
2021-11-07,76.25
2021-11-14,29.3
2021-11-21,24.13
2021-11-28,30
2021-12-05,30.5
2021-12-12,30
2021-12-19,11.5
2021-12-26,20.67
2022-01-02,27
2022-01-09,16.5
2022-01-16,40
2022-01-23,18
2022-01-30,22.5
2022-02-06,27.5
2022-02-13,31.25
2022-02-20,24.9
2022-02-27,41.67
2022-03-06,42
2022-03-13,23.33
2022-03-20,21.25
2022-03-27,27.5
2022-04-03,30
2022-04-10,30
2022-04-17,19
2022-04-24,23.1
2022-05-01,32.25
2022-05-08,37.5
2022-05-15,38.8
2022-05-22,66.63
2022-05-29,77.5
2022-06-05,77.5
2022-06-12,60.5
2022-06-19,70
2022-06-26,68.52
2022-07-03,69.5
2022-07-10,53.13
2022-07-17,34.25
2022-07-24,35.25
2022-07-31,22.5
2022-08-07,25.3
2022-08-14,27.5
2022-08-21,42.25
2022-08-28,25.1
2022-09-04,48
2022-09-11,54.5
2022-09-18,46.6
2022-09-25,51
2022-10-02,85.5
2022-10-09,70
2022-10-16,44.81
2022-10-23,43.13
2022-10-30,
2022-11-06,71.25
2022-11-13,107
2022-11-20,42.5
2022-11-27,60
2022-12-04,29
