Week,Price
2017-10-22,18.75
2017-10-29,
2017-11-05,20.67
2017-11-12,23.5
2017-11-19,22.5
2017-11-26,17.33
2017-12-03,19.6
2017-12-10,19.1
2017-12-17,
2017-12-24,
2017-12-31,11
2018-01-07,
2018-01-14,
2018-01-21,26.3
2018-01-28,22.5
2018-02-04,25
2018-02-11,24.38
2018-02-18,15.75
2018-02-25,16.5
2018-04-04,22.1
2018-03-11,11.75
2018-03-18,17
2018-03-25,13.33
2018-04-01,20.5
2018-04-08,13.25
2018-04-15,11.75
2018-04-22,12.5
2018-04-29,17.75
2018-05-06,14.75
2018-05-13,20.83
2018-05-20,12.5
2018-05-27,
2018-06-03,
2018-06-10,
2018-06-17,16.75
2018-06-24,22.75
2018-07-01,31.75
2018-07-08,31.25
2018-07-15,26.5
2018-07-22,19.9
2018-07-29,38.83
2018-08-05,49
2018-08-12,42
2018-08-19,30.17
2018-08-26,38.5
2018-09-02,30.3
2018-09-09,36.83
2018-09-16,30.5
2018-09-23,55.17
2018-09-30,44.6
2018-10-07,53.5
2018-10-14,23.8
2018-10-21,15.2
2018-10-28,11
2018-11-04,34.8
2018-11-11,46.5
2018-11-18,52.5
2018-11-25,48.83
2018-12-02,37
2018-12-09,19.63
2018-12-16,15.25
2018-12-23,14.5
2018-12-30,
