week,prices
2017-10-29,39.16
2017-11-12,63.5
2017-11-19,21.1
2017-12-03,11.33
2017-12-10,14.8
2017-12-17,9
2017-12-24,
2017-12-31,
2018-01-07,9
2018-01-14,
2018-01-21,
2018-01-28,18
2018-02-04,7.5
2018-02-11,11
2018-02-18,11.8
2018-02-25,13.125
2018-03-04,13
2018-03-11,22.7
2018-03-18,16.375
2018-03-25,25.5
2018-04-01,19.38
2018-04-08,28.9
2018-04-15,21.75
2018-04-22,22.5
2018-04-29,16
2018-05-06,8.5
2018-05-13,4
2018-05-20,9.3
2018-05-27,7
2018-06-03,
2018-06-10,
2018-06-17,
2018-06-24,33.125
2018-07-01,36.5
2018-07-08,43.75
2018-07-15,46.83
2018-07-22,53
2018-07-29,59
2018-08-05,49.375
2018-08-12,40.25
2018-08-19,51.75
2018-08-26,53.33
2018-09-02,50.125
2018-09-09,31.7
2018-09-16,41.83
2018-09-30,9.2
2018-10-07,7
2018-10-14,12.875
2018-10-21,13.125
2018-10-28,21
2018-11-4,43.83
2018-11-11,32
2018-11-18,21.5
2018-11-25,20.9
2018-12-2,22
2018-12-9,37.6
2018-12-16,27.625
2018-12-23,30.625
2018-12-30,28.25
2019-01-06,19.7
2019-01-13,14.875
2019-01-20,11.8
2019-01-27,11.5
2019-02-03,12.125
2019-02-10,23.875
2019-02-17,21.6
2019-02-24,12.375
2019-03-03,8.125
2019-03-10,5.9
2019-03-17,6
2019-03-24,4.875
2019-03-31,6.83
2019-04-07,5.5
2019-04-14,9
2019-04-21,9
2019-04-28,11
2019-05-05,17.5
2019-05-12,25.33
2019-05-19,33.25
2019-05-26,32.5
2019-06-02,44.25
2019-06-09,51.5
2019-06-16,26.75
2019-06-23,31.125
2019-06-30,40
2019-07-07,39.75
2019-07-14,42.875
2019-07-21,25.3
2019-07-28,26
2019-08-04,26.9
2019-08-11,26
2019-08-18,29.75
2019-08-25,22.375
2019-09-01,25.375
2019-09-08,33.875
2019-09-15,38.1
2019-09-22,41.5
2019-09-29,30.7
2019-10-6,19.3
2019-10-13,22.4
2019-10-20,23.625
2019-10-27,27.2
2019-11-3,20.625
2019-11-10,15.75
2019-11-17,22.25
2019-11-24,11.4
2019-12-1,12.375
2019-12-8,21.2
2019-12-15,21.375
2019-12-22,23.375
2019-12-29,34.33
2020-01-12,20.1
2020-01-19,19.625
2020-01-26,18.3
2020-02-02,15
2020-02-09,16
2020-02-16,21.7
2020-02-23,16.9
2020-03-01,16.38
2020-03-08,17.5
2020-03-15,16.25
2020-03-22,14.5
2020-03-29,15.17
2020-04-05,15
2020-04-12,11.25
2020-04-19,26.25
2020-04-26,39.25
2020-05-03,23.83
2020-05-10,15.5
2020-05-17,7.33
2020-05-24,5
2020-05-31,6
2020-06-07,4.5
2020-06-14,3.5
2020-06-21,5.83
2020-06-28,6.83
2020-07-05,7.75
2020-07-12,14.88
2020-07-19,19.4
2020-07-26,24.5
2020-08-02,30.3
2020-08-09,39.5
2020-08-16,33.5
2020-08-23,41.88
2020-08-30,38.75
2020-09-06,24.5
2020-09-13,40.75
2020-09-20,45
2020-09-27,50
2020-10-04,52.5
2020-10-11,43.13
2020-10-18,48.33
2020-10-25,72.8
2020-11-01,80
2020-11-08,67.5
2020-11-15,71.25
2020-11-22,85
2020-11-29,
2020-12-06,85
2020-12-13,101.67
2020-12-20,100
2020-12-27,90
2021-01-03,
2021-01-10,67.5
2021-01-17,52.5
2021-01-24,48.33
2021-01-31,48.33
2021-02-07,16.5
2021-02-14,22
2021-02-21,16.5
2021-02-28,9.25
2021-03-07,11
2021-03-14,5.17
2021-03-21,3.75
2021-03-28,5.36
2021-04-04,10
2021-04-11,4.75
2021-04-18,6.83
2021-04-25,5.5
2021-05-02,6
2021-05-09,8.67
2021-05-16,6
2021-05-23,
2021-05-30,14.5
2021-06-06,15
2021-06-13,
2021-06-20,
2021-06-27,28
2021-07-04,31
2021-07-11,	
2021-07-18,
2021-07-25,58.75
2021-08-01,56.67
2021-08-08,56
2021-08-15,36
2021-08-22,40.5
2021-08-29,41.83
2021-09-05,34.33
2021-09-12,41
2021-09-19,26.83
2021-09-26,12.167
2021-10-03,16.167
2021-10-10,22.625
2021-10-17,21.5
2021-10-24,23.33
2021-10-31,12.875
2021-11-07,12.875
2021-11-14,19.9
2021-11-21,26.125
2021-11-28,19
2021-12-05,15.6
2021-12-12,23.75
2021-12-19,22.2
2021-12-26,25
2022-01-02,17.5
2022-01-09,18.9
2022-01-16,33.875
2022-01-23,21.5
2022-01-30,21.25
2022-02-06,19
2022-02-13,24.875
2022-02-20,19.83
2022-02-27,25.83
2022-03-06,27.8
2022-03-13,48.5
2022-03-20,50.169
2022-03-27,48.75
2022-04-03,49.5
2022-04-10,61.25
2022-04-17,71.69
2022-04-24,63.33
2022-05-01,52.5
2022-05-08,52.5
2022-05-15,52.5
2022-05-22,49.5
2022-05-29,51
2022-06-05,29.75
2022-06-12,16.7
2022-06-19,12.3
2022-06-26,10
2022-07-03,10.9
2022-07-10,10.8
2022-07-17,12.5
2022-07-24,10.6
2022-07-31,6.5
2022-08-07,10.3
2022-08-14,20.1
2022-08-21,21.25
2022-08-28,20.9
2022-09-04,25.7
2022-09-11,29.2
2022-09-18,39.58
2022-09-25,53.875
2022-10-02,74.375
2022-10-09,65.625
2022-10-16,50.9
2022-10-23,37.3
2022-10-30,47.5
2022-11-06,71.67
2022-11-13,45
2022-11-20,41.25
2022-11-27,45
2022-12-04,50

